split,group_col,group_value,level,count,actual_coverage,expected_coverage,coverage_error,avg_interval_width,enough_sample
combined_out_of_sample,forecast_horizon_hours,-7.0,0.8,870,0.9287356321839081,0.8,0.12873563218390804,3.762028318169756,True
combined_out_of_sample,forecast_horizon_hours,-6.0,0.8,870,0.9275862068965517,0.8,0.12758620689655165,3.755582334748795,True
combined_out_of_sample,forecast_horizon_hours,-5.0,0.8,870,0.9252873563218391,0.8,0.12528735632183907,3.7469647936929187,True
combined_out_of_sample,forecast_horizon_hours,-4.0,0.8,870,0.9252873563218391,0.8,0.12528735632183907,3.747008627570273,True
combined_out_of_sample,forecast_horizon_hours,-3.0,0.8,870,0.9241379310344827,0.8,0.12413793103448267,3.7458243905236266,True
combined_out_of_sample,forecast_horizon_hours,-2.0,0.8,869,0.9217491369390104,0.8,0.12174913693901035,3.7506546110047703,True
combined_out_of_sample,forecast_horizon_hours,-1.0,0.8,868,0.913594470046083,0.8,0.11359447004608292,3.752551155549291,True
combined_out_of_sample,forecast_horizon_hours,0.0,0.8,869,0.904487917146145,0.8,0.10448791714614492,3.777943856570058,True
combined_out_of_sample,forecast_horizon_hours,1.0,0.8,868,0.8905529953917051,0.8,0.09055299539170503,3.801403030563106,True
combined_out_of_sample,forecast_horizon_hours,2.0,0.8,869,0.8745684695051784,0.8,0.07456846950517837,3.8559397958659183,True
combined_out_of_sample,forecast_horizon_hours,3.0,0.8,870,0.8620689655172413,0.8,0.06206896551724128,3.8860097029128657,True
combined_out_of_sample,forecast_horizon_hours,4.0,0.8,870,0.8655172413793103,0.8,0.06551724137931025,3.9071915096592784,True
combined_out_of_sample,forecast_horizon_hours,5.0,0.8,870,0.8482758620689655,0.8,0.0482758620689655,3.897587535753808,True
combined_out_of_sample,forecast_horizon_hours,6.0,0.8,870,0.8298850574712644,0.8,0.029885057471264354,3.8711296208157133,True
combined_out_of_sample,forecast_horizon_hours,7.0,0.8,870,0.8206896551724138,0.8,0.020689655172413723,3.869873196824114,True
combined_out_of_sample,forecast_horizon_hours,8.0,0.8,869,0.8204833141542003,0.8,0.02048331415420024,3.87442189466949,True
combined_out_of_sample,forecast_horizon_hours,9.0,0.8,870,0.8195402298850575,0.8,0.019540229885057436,3.8720738036335938,True
combined_out_of_sample,forecast_horizon_hours,10.0,0.8,870,0.8218390804597702,0.8,0.02183908045977012,3.8710053991099698,True
combined_out_of_sample,forecast_horizon_hours,11.0,0.8,870,0.8218390804597702,0.8,0.02183908045977012,3.8719663474114476,True
combined_out_of_sample,forecast_horizon_hours,12.0,0.8,870,0.8172413793103448,0.8,0.01724137931034475,3.874524245092004,True
combined_out_of_sample,forecast_horizon_hours,13.0,0.8,870,0.8172413793103448,0.8,0.01724137931034475,3.8749499916792747,True
combined_out_of_sample,forecast_horizon_hours,14.0,0.8,869,0.8181818181818182,0.8,0.018181818181818188,3.87826681163752,True
combined_out_of_sample,forecast_horizon_hours,15.0,0.8,5,1.0,0.8,0.19999999999999996,3.956952653063218,False
