split,method,threshold,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,raw_ngboost,2.0,0.6-0.7,0.6575061710331395,0.6176470588235294,68,-0.039859112209610026,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,2.0,0.7-0.8,0.765097081413681,0.6436781609195402,174,-0.12141892049414083,0.7000000000000001,0.8
validation,raw_ngboost,2.0,0.8-0.9,0.8599194033862041,0.8538163001293662,773,-0.006103103256837938,0.8,0.9
validation,raw_ngboost,2.0,0.9-1.0,0.9821665607417291,0.9715447154471545,7380,-0.010621845294574661,0.9,1.0
validation,raw_ngboost,3.0,0.0-0.1,0.020771751832524128,0.0,68,-0.020771751832524128,0.0,0.1
validation,raw_ngboost,3.0,0.1-0.2,0.13832188757182354,0.0,19,-0.13832188757182354,0.1,0.2
validation,raw_ngboost,3.0,0.2-0.3,0.24613246427546123,0.0,30,-0.24613246427546123,0.2,0.30000000000000004
validation,raw_ngboost,3.0,0.3-0.4,0.35682473362983663,0.3181818181818182,22,-0.038642915448018456,0.30000000000000004,0.4
validation,raw_ngboost,3.0,0.4-0.5,0.44884194585407744,0.5,8,0.05115805414592256,0.4,0.5
validation,raw_ngboost,3.0,0.5-0.6,0.5464611483782567,0.10526315789473684,19,-0.4411979904835198,0.5,0.6000000000000001
validation,raw_ngboost,3.0,0.6-0.7,0.6548580588264622,0.6666666666666666,27,0.011808607840204433,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,3.0,0.7-0.8,0.7495753369320287,0.7192982456140351,57,-0.03027709131799361,0.7000000000000001,0.8
validation,raw_ngboost,3.0,0.8-0.9,0.8632981394880708,0.7938931297709924,131,-0.06940500971707841,0.8,0.9
validation,raw_ngboost,3.0,0.9-1.0,0.99125721265236,0.9786980840176127,8403,-0.012559128634747285,0.9,1.0
validation,raw_ngboost,5.0,0.0-0.1,,,0,,0.0,0.1
validation,raw_ngboost,5.0,0.1-0.2,,,0,,0.1,0.2
validation,raw_ngboost,5.0,0.2-0.3,0.28768842395092326,0.0,2,-0.28768842395092326,0.2,0.30000000000000004
validation,raw_ngboost,5.0,0.3-0.4,0.3212509529221923,0.0,7,-0.3212509529221923,0.30000000000000004,0.4
validation,raw_ngboost,5.0,0.4-0.5,0.4585594025419196,0.0,11,-0.4585594025419196,0.4,0.5
validation,raw_ngboost,5.0,0.5-0.6,0.5598645167609999,0.0,14,-0.5598645167609999,0.5,0.6000000000000001
validation,raw_ngboost,5.0,0.6-0.7,0.6510888034608726,0.0,10,-0.6510888034608726,0.6000000000000001,0.7000000000000001
validation,raw_ngboost,5.0,0.7-0.8,0.7293588985983952,0.5,4,-0.2293588985983952,0.7000000000000001,0.8
validation,raw_ngboost,5.0,0.8-0.9,0.8550597665995324,0.8,15,-0.05505976659953238,0.8,0.9
validation,raw_ngboost,5.0,0.9-1.0,0.9989447864801504,0.9946107097809884,8721,-0.004334076699161971,0.9,1.0
test,raw_ngboost,-5.0,0.0-0.1,0.00847612762433305,0.024272263971667964,11577,0.015796136347334913,0.0,0.1
test,raw_ngboost,-5.0,0.1-0.2,0.13890442438174633,0.3520408163265306,392,0.2131363919447843,0.1,0.2
test,raw_ngboost,-5.0,0.2-0.3,0.24423138450234022,0.6261682242990654,107,0.38193683979672516,0.2,0.30000000000000004
test,raw_ngboost,-5.0,0.3-0.4,0.33542332957327997,0.9523809523809523,42,0.6169576228076723,0.30000000000000004,0.4
test,raw_ngboost,-5.0,0.4-0.5,0.412968733587463,1.0,2,0.587031266412537,0.4,0.5
test,raw_ngboost,-5.0,0.5-0.6,,,0,,0.5,0.6000000000000001
test,raw_ngboost,-5.0,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
test,raw_ngboost,-5.0,0.7-0.8,,,0,,0.7000000000000001,0.8
test,raw_ngboost,-5.0,0.8-0.9,,,0,,0.8,0.9
test,raw_ngboost,-5.0,0.9-1.0,,,0,,0.9,1.0
test,raw_ngboost,-3.0,0.0-0.1,0.022251078734756225,0.04823543778239101,8189,0.025984359047634787,0.0,0.1
test,raw_ngboost,-3.0,0.1-0.2,0.1441726192683921,0.23433874709976799,1293,0.0901661278313759,0.1,0.2
test,raw_ngboost,-3.0,0.2-0.3,0.2433118557490717,0.4444444444444444,702,0.20113258869537273,0.2,0.30000000000000004
test,raw_ngboost,-3.0,0.3-0.4,0.35013138654187276,0.5167037861915368,449,0.16657239964966403,0.30000000000000004,0.4
test,raw_ngboost,-3.0,0.4-0.5,0.44795512041910224,0.7027863777089783,323,0.2548312572898761,0.4,0.5
test,raw_ngboost,-3.0,0.5-0.6,0.5461370263972374,0.7992277992277992,259,0.2530907728305618,0.5,0.6000000000000001
test,raw_ngboost,-3.0,0.6-0.7,0.6483415818881174,0.9183098591549296,355,0.26996827726681216,0.6000000000000001,0.7000000000000001
test,raw_ngboost,-3.0,0.7-0.8,0.7470397879255554,0.9787878787878788,330,0.2317480908623234,0.7000000000000001,0.8
test,raw_ngboost,-3.0,0.8-0.9,0.8413674345939137,0.9947643979057592,191,0.1533969633118455,0.8,0.9
test,raw_ngboost,-3.0,0.9-1.0,0.9159776601145038,1.0,29,0.08402233988549623,0.9,1.0
test,raw_ngboost,-2.0,0.0-0.1,0.023006733986128753,0.049968507243334036,4763,0.026961773257205283,0.0,0.1
test,raw_ngboost,-2.0,0.1-0.2,0.14205163911170793,0.24081237911025144,2068,0.09876073999854351,0.1,0.2
test,raw_ngboost,-2.0,0.2-0.3,0.24721422523227615,0.38571428571428573,1120,0.13850006048200958,0.2,0.30000000000000004
test,raw_ngboost,-2.0,0.3-0.4,0.34659366166320504,0.4586255259467041,713,0.11203186428349904,0.30000000000000004,0.4
test,raw_ngboost,-2.0,0.4-0.5,0.44843703902197724,0.5837037037037037,675,0.1352666646817265,0.4,0.5
test,raw_ngboost,-2.0,0.5-0.6,0.5503177303173536,0.66,500,0.10968226968264638,0.5,0.6000000000000001
test,raw_ngboost,-2.0,0.6-0.7,0.6479771157468197,0.8051391862955032,467,0.15716207054868347,0.6000000000000001,0.7000000000000001
test,raw_ngboost,-2.0,0.7-0.8,0.7503448556925134,0.9021739130434783,460,0.15182905735096486,0.7000000000000001,0.8
test,raw_ngboost,-2.0,0.8-0.9,0.8521700890231046,0.9636363636363636,385,0.11146627461325898,0.8,0.9
test,raw_ngboost,-2.0,0.9-1.0,0.9624369435566831,0.9938080495356038,969,0.03137110597892068,0.9,1.0
test,raw_ngboost,-1.0,0.0-0.1,0.010822956563930543,0.0012386457473162675,2422,-0.009584310816614275,0.0,0.1
test,raw_ngboost,-1.0,0.1-0.2,0.15624747036450182,0.23109243697478993,714,0.07484496661028811,0.1,0.2
test,raw_ngboost,-1.0,0.2-0.3,0.25241869786930815,0.443331246086412,1597,0.19091254821710385,0.2,0.30000000000000004
test,raw_ngboost,-1.0,0.3-0.4,0.34369420320663907,0.48635235732009924,1209,0.14265815411346017,0.30000000000000004,0.4
test,raw_ngboost,-1.0,0.4-0.5,0.44748498506423495,0.5840425531914893,940,0.1365575681272544,0.4,0.5
test,raw_ngboost,-1.0,0.5-0.6,0.5513830655060408,0.6526442307692307,832,0.10126116526318996,0.5,0.6000000000000001
test,raw_ngboost,-1.0,0.6-0.7,0.6492717685507423,0.6931297709923664,655,0.04385800244162408,0.6000000000000001,0.7000000000000001
test,raw_ngboost,-1.0,0.7-0.8,0.7483905294732914,0.8275862068965517,696,0.07919567742326028,0.7000000000000001,0.8
test,raw_ngboost,-1.0,0.8-0.9,0.8510057266707557,0.8753799392097265,658,0.024374212538970763,0.8,0.9
test,raw_ngboost,-1.0,0.9-1.0,0.9798709013584437,0.9870671672924489,2397,0.0071962659340052415,0.9,1.0
test,raw_ngboost,0.0,0.0-0.1,0.010407691252170004,0.0027472527472527475,1456,-0.007660438504917256,0.0,0.1
test,raw_ngboost,0.0,0.1-0.2,0.15013169895301992,0.08176100628930817,159,-0.06837069266371175,0.1,0.2
test,raw_ngboost,0.0,0.2-0.3,0.26039513668997705,0.14227642276422764,246,-0.11811871392574941,0.2,0.30000000000000004
test,raw_ngboost,0.0,0.3-0.4,0.3549983663662377,0.36080178173719374,449,0.005803415370956022,0.30000000000000004,0.4
test,raw_ngboost,0.0,0.4-0.5,0.45471124593767415,0.5708227311280747,1179,0.11611148519040054,0.4,0.5
test,raw_ngboost,0.0,0.5-0.6,0.5480628869188182,0.6497991967871486,1245,0.10173630986833038,0.5,0.6000000000000001
test,raw_ngboost,0.0,0.6-0.7,0.6495303422324652,0.689484126984127,1008,0.03995378475166178,0.6000000000000001,0.7000000000000001
test,raw_ngboost,0.0,0.7-0.8,0.75004069368069,0.7399014778325124,1015,-0.010139215848177674,0.7000000000000001,0.8
test,raw_ngboost,0.0,0.8-0.9,0.8501894339795588,0.8404533565823888,1147,-0.009736077397169973,0.8,0.9
test,raw_ngboost,0.0,0.9-1.0,0.9817145186299109,0.9786527514231499,4216,-0.0030617672067609902,0.9,1.0
test,raw_ngboost,1.0,0.0-0.1,0.01421814258769901,0.003658536585365854,820,-0.010559606002333157,0.0,0.1
test,raw_ngboost,1.0,0.1-0.2,0.15147262814874649,0.18421052631578946,114,0.03273789816704298,0.1,0.2
test,raw_ngboost,1.0,0.2-0.3,0.24645099144266353,0.1724137931034483,87,-0.07403719833921524,0.2,0.30000000000000004
test,raw_ngboost,1.0,0.3-0.4,0.35315244548388486,0.3416666666666667,120,-0.011485778817218184,0.30000000000000004,0.4
test,raw_ngboost,1.0,0.4-0.5,0.46093031060769474,0.39215686274509803,153,-0.0687734478625967,0.4,0.5
test,raw_ngboost,1.0,0.5-0.6,0.5528716897836602,0.6132596685082873,362,0.06038797872462709,0.5,0.6000000000000001
test,raw_ngboost,1.0,0.6-0.7,0.6569342087324542,0.6471251409244645,887,-0.009809067807989735,0.6000000000000001,0.7000000000000001
test,raw_ngboost,1.0,0.7-0.8,0.7516184456492504,0.7612676056338028,1420,0.009649159984552402,0.7000000000000001,0.8
test,raw_ngboost,1.0,0.8-0.9,0.8529876052849954,0.8470873786407767,1648,-0.005900226644218742,0.8,0.9
test,raw_ngboost,1.0,0.9-1.0,0.9821318912901107,0.9726532493470579,6509,-0.009478641943052812,0.9,1.0
test,raw_ngboost,2.0,0.0-0.1,0.015940197402233715,0.0,277,-0.015940197402233715,0.0,0.1
test,raw_ngboost,2.0,0.1-0.2,0.15782117382430566,0.01,100,-0.14782117382430565,0.1,0.2
test,raw_ngboost,2.0,0.2-0.3,0.24403277111186383,0.024793388429752067,121,-0.21923938268211177,0.2,0.30000000000000004
test,raw_ngboost,2.0,0.3-0.4,0.3558971859426237,0.038461538461538464,52,-0.3174356474810852,0.30000000000000004,0.4
test,raw_ngboost,2.0,0.4-0.5,0.4563362273914161,0.21052631578947367,38,-0.24580991160194243,0.4,0.5
test,raw_ngboost,2.0,0.5-0.6,0.5582579846916326,0.6415094339622641,53,0.08325144927063155,0.5,0.6000000000000001
test,raw_ngboost,2.0,0.6-0.7,0.6616935362652526,0.6326530612244898,147,-0.029040475040762792,0.6000000000000001,0.7000000000000001
test,raw_ngboost,2.0,0.7-0.8,0.7623887486714426,0.6807095343680709,451,-0.08167921430337166,0.7000000000000001,0.8
test,raw_ngboost,2.0,0.8-0.9,0.8579950144245692,0.8256944444444444,1440,-0.03230056998012476,0.8,0.9
