split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
validation,prediction_hour,20,0.9,0.9863387978142076,0.08633879781420761,366,0.28486737353655844,0.20181635292155373,True
validation,prediction_hour,21,0.5,0.7923497267759563,0.2923497267759563,366,0.2798355010850159,0.19600409433178972,True
validation,prediction_hour,21,0.8,0.9590163934426229,0.15901639344262286,366,0.2798355010850159,0.19600409433178972,True
validation,prediction_hour,21,0.9,0.9836065573770492,0.08360655737704914,366,0.2798355010850159,0.19600409433178972,True
validation,prediction_hour,22,0.5,0.7978142076502732,0.2978142076502732,366,0.2795840089727665,0.19298855728248146,True
validation,prediction_hour,22,0.8,0.9644808743169399,0.1644808743169398,366,0.2795840089727665,0.19298855728248146,True
validation,prediction_hour,22,0.9,0.9863387978142076,0.08633879781420761,366,0.2795840089727665,0.19298855728248146,True
validation,prediction_hour,23,0.5,0.7923497267759563,0.2923497267759563,366,0.27675446805409526,0.18853040692690518,True
validation,prediction_hour,23,0.8,0.9672131147540983,0.16721311475409828,366,0.27675446805409526,0.18853040692690518,True
validation,prediction_hour,23,0.9,0.9918032786885246,0.09180327868852456,366,0.27675446805409526,0.18853040692690518,True
test,prediction_hour,0,0.5,0.4376237623762376,-0.062376237623762376,505,1.8086201559702497,1.754524125936461,True
test,prediction_hour,0,0.8,0.8237623762376237,0.023762376237623672,505,1.8086201559702497,1.754524125936461,True
test,prediction_hour,0,0.9,0.9504950495049505,0.05049504950495043,505,1.8086201559702497,1.754524125936461,True
test,prediction_hour,1,0.5,0.4297029702970297,-0.0702970297029703,505,1.8039134936252554,1.7569272329040715,True
test,prediction_hour,1,0.8,0.8316831683168316,0.0316831683168316,505,1.8039134936252554,1.7569272329040715,True
test,prediction_hour,1,0.9,0.9504950495049505,0.05049504950495043,505,1.8039134936252554,1.7569272329040715,True
test,prediction_hour,2,0.5,0.4297029702970297,-0.0702970297029703,505,1.785154202724448,1.7615552602358617,True
test,prediction_hour,2,0.8,0.8277227722772277,0.027722772277227636,505,1.785154202724448,1.7615552602358617,True
test,prediction_hour,2,0.9,0.9485148514851485,0.04851485148514845,505,1.785154202724448,1.7615552602358617,True
test,prediction_hour,3,0.5,0.4277227722772277,-0.07227722772277229,505,1.777222779267656,1.765031608723866,True
test,prediction_hour,3,0.8,0.8297029702970297,0.02970297029702962,505,1.777222779267656,1.765031608723866,True
test,prediction_hour,3,0.9,0.9465346534653465,0.046534653465346465,505,1.777222779267656,1.765031608723866,True
test,prediction_hour,4,0.5,0.4297029702970297,-0.0702970297029703,505,1.770211167746418,1.766635788358374,True
test,prediction_hour,4,0.8,0.8297029702970297,0.02970297029702962,505,1.770211167746418,1.766635788358374,True
test,prediction_hour,4,0.9,0.9445544554455445,0.04455445544554448,505,1.770211167746418,1.766635788358374,True
test,prediction_hour,5,0.5,0.42178217821782177,-0.07821782178217823,505,1.7694983187557731,1.7695114914198464,True
test,prediction_hour,5,0.8,0.8257425742574257,0.025742574257425654,505,1.7694983187557731,1.7695114914198464,True
test,prediction_hour,5,0.9,0.9465346534653465,0.046534653465346465,505,1.7694983187557731,1.7695114914198464,True
test,prediction_hour,6,0.5,0.42178217821782177,-0.07821782178217823,505,1.7699006962832704,1.774087117712555,True
test,prediction_hour,6,0.8,0.8237623762376237,0.023762376237623672,505,1.7699006962832704,1.774087117712555,True
test,prediction_hour,6,0.9,0.9465346534653465,0.046534653465346465,505,1.7699006962832704,1.774087117712555,True
test,prediction_hour,7,0.5,0.4158415841584158,-0.08415841584158418,505,1.7663310431305437,1.7737685008795312,True
test,prediction_hour,7,0.8,0.8277227722772277,0.027722772277227636,505,1.7663310431305437,1.7737685008795312,True
test,prediction_hour,7,0.9,0.9465346534653465,0.046534653465346465,505,1.7663310431305437,1.7737685008795312,True
test,prediction_hour,8,0.5,0.4099009900990099,-0.09009900990099012,505,1.7559595270997708,1.7691022698731733,True
test,prediction_hour,8,0.8,0.8237623762376237,0.023762376237623672,505,1.7559595270997708,1.7691022698731733,True
test,prediction_hour,8,0.9,0.9405940594059405,0.04059405940594052,505,1.7559595270997708,1.7691022698731733,True
test,prediction_hour,9,0.5,0.42376237623762375,-0.07623762376237625,505,1.745824894717653,1.7761382772307412,True
test,prediction_hour,9,0.8,0.8198019801980198,0.01980198019801971,505,1.745824894717653,1.7761382772307412,True
test,prediction_hour,9,0.9,0.9445544554455445,0.04455445544554448,505,1.745824894717653,1.7761382772307412,True
test,prediction_hour,10,0.5,0.4534653465346535,-0.04653465346534652,505,1.7261930476298724,1.6918629255741722,True
test,prediction_hour,10,0.8,0.8118811881188119,0.011881188118811892,505,1.7261930476298724,1.6918629255741722,True
test,prediction_hour,10,0.9,0.9485148514851485,0.04851485148514845,505,1.7261930476298724,1.6918629255741722,True
test,prediction_hour,11,0.5,0.47128712871287126,-0.02871287128712874,505,1.6959696968735674,1.5793038091995433,True
test,prediction_hour,11,0.8,0.8336633663366336,0.03366336633663358,505,1.6959696968735674,1.5793038091995433,True
test,prediction_hour,11,0.9,0.9564356435643564,0.056435643564356375,505,1.6959696968735674,1.5793038091995433,True
