split,method,bucket,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
test,raw_ngboost,market_bucket_1,0.3-0.4,0.3515492759629712,0.29536290322580644,1984,-0.05618637273716476,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_1,0.4-0.5,0.4375544802839404,0.3609022556390977,1330,-0.07665222464484267,0.4,0.5
test,raw_ngboost,market_bucket_1,0.5-0.6,0.5445159500639148,0.45454545454545453,253,-0.08997049551846031,0.5,0.6000000000000001
test,raw_ngboost,market_bucket_1,0.6-0.7,0.6492290636029868,0.7398373983739838,123,0.09060833477099695,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_1,0.7-0.8,0.7514486115597764,0.9433962264150944,212,0.19194761485531797,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_1,0.8-0.9,0.856392578289562,0.9915966386554622,119,0.13520406036590027,0.8,0.9
test,raw_ngboost,market_bucket_1,0.9-1.0,0.9672127790981013,0.9985815602836879,705,0.031368781185586614,0.9,1.0
test,raw_ngboost,market_bucket_2,0.0-0.1,0.03383714381884869,0.0012048192771084338,2490,-0.032632324541740254,0.0,0.1
test,raw_ngboost,market_bucket_2,0.1-0.2,0.14529830598332558,0.05795768169273229,1087,-0.08734062429059328,0.1,0.2
test,raw_ngboost,market_bucket_2,0.2-0.3,0.24981183789226977,0.20029895366218237,1338,-0.0495128842300874,0.2,0.30000000000000004
test,raw_ngboost,market_bucket_2,0.3-0.4,0.36428774128572894,0.273224043715847,2379,-0.09106369756988192,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_2,0.4-0.5,0.4338304063435713,0.35036496350364965,2603,-0.08346544283992163,0.4,0.5
test,raw_ngboost,market_bucket_2,0.5-0.6,0.549782353606216,0.4364406779661017,472,-0.11334167564011427,0.5,0.6000000000000001
test,raw_ngboost,market_bucket_2,0.6-0.7,0.6439601759663772,0.7359050445103857,337,0.09194486854400852,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_2,0.7-0.8,0.7493312331447801,0.8047619047619048,210,0.05543067161712467,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_2,0.8-0.9,0.8527124206176041,0.8529411764705882,272,0.00022875585298409717,0.8,0.9
test,raw_ngboost,market_bucket_2,0.9-1.0,0.9735681265865713,0.9881974248927039,932,0.014629298306132577,0.9,1.0
test,raw_ngboost,market_bucket_3,0.0-0.1,0.03278942770969679,0.02100307803729857,5523,-0.011786349672398222,0.0,0.1
test,raw_ngboost,market_bucket_3,0.1-0.2,0.14945597496097826,0.17837704106877783,4042,0.02892106610779957,0.1,0.2
test,raw_ngboost,market_bucket_3,0.2-0.3,0.22868236037089235,0.22382397572078908,1318,-0.00485838465010327,0.2,0.30000000000000004
test,raw_ngboost,market_bucket_3,0.3-0.4,0.3449113507292251,0.44904458598726116,314,0.10413323525803608,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_3,0.4-0.5,0.4495170073492202,0.6114649681528662,157,0.16194796080364604,0.4,0.5
test,raw_ngboost,market_bucket_3,0.5-0.6,0.5498372713664693,0.7596899224806202,129,0.20985265111415086,0.5,0.6000000000000001
test,raw_ngboost,market_bucket_3,0.6-0.7,0.6454133239060855,0.8962962962962963,135,0.25088297239021073,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_3,0.7-0.8,0.7422647489522557,1.0,81,0.2577352510477443,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_3,0.8-0.9,0.8522088922297915,0.9862068965517241,145,0.13399800432193265,0.8,0.9
test,raw_ngboost,market_bucket_3,0.9-1.0,0.946052383333371,1.0,276,0.05394761666662895,0.9,1.0
test,raw_ngboost,market_bucket_4,0.0-0.1,0.028799769043303988,0.030553335109690025,11259,0.001753566066386037,0.0,0.1
test,raw_ngboost,market_bucket_4,0.1-0.2,0.1313269151887229,0.19369369369369369,222,0.0623667785049708,0.1,0.2
test,raw_ngboost,market_bucket_4,0.2-0.3,0.2547348095263969,0.12612612612612611,111,-0.12860868340027076,0.2,0.30000000000000004
test,raw_ngboost,market_bucket_4,0.3-0.4,0.3419962855967861,0.26262626262626265,99,-0.07937002297052342,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_4,0.4-0.5,0.4412258697987689,0.4444444444444444,90,0.0032185746456755426,0.4,0.5
test,raw_ngboost,market_bucket_4,0.5-0.6,0.5459532957049302,0.2375,80,-0.30845329570493024,0.5,0.6000000000000001
