fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.94,822.0,6,22507.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.93,20.0,7,22527.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.92,4.0,8,22531.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.91,3.0,9,22534.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.9,20.0,10,22554.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.89,3.0,11,22557.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.85,52.0,12,22609.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.75,12.0,13,22621.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.7,1.0,14,22622.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.66,30.0,15,22652.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.5,10.0,16,22662.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.45,6.0,17,22668.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.41,100.0,18,22768.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.35,103.0,19,22871.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,NO,bid,0.31,6.0,20,22877.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.01,16086.14,1,16086.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.02,2503.0,2,18589.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.03,2718.0,3,21307.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.04,341.0,4,21648.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.05,37.0,5,21685.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.06,822.0,6,22507.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.07,20.0,7,22527.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.08,4.0,8,22531.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.09,3.0,9,22534.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.1,20.0,10,22554.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.11,3.0,11,22557.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.15,52.0,12,22609.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.25,12.0,13,22621.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.3,1.0,14,22622.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.34,30.0,15,22652.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.5,10.0,16,22662.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.55,6.0,17,22668.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.59,100.0,18,22768.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.65,103.0,19,22871.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B87.5,YES,ask,0.69,6.0,20,22877.14,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.99,14286.53,1,14286.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.98,2703.0,2,16989.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.97,584.0,3,17573.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.96,364.0,4,17937.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.95,121.0,5,18058.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.94,264.0,6,18322.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.93,19.0,7,18341.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.92,15.0,8,18356.53,no_dollars
