fetched_at,evaluated_at,ticker,staleness_seconds,max_staleness_seconds,best_yes_bid,best_yes_bid_size,best_yes_ask,best_yes_ask_size,yes_spread,yes_midpoint,best_no_bid,best_no_bid_size,best_no_ask,best_no_ask_size,no_spread,no_midpoint,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,max_spread_dollars,orderbook_status,orderbook_reason,event_ticker,close_time,market_status,eligible
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-B79.5,0.0,,,,0.01,16508.39,,,0.99,16508.39,,,,,0.0,18614.589999999997,18614.589999999997,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-B77.5,0.0,,,,0.01,1112.82,,,0.99,1112.82,,,,,0.0,3181.16,3181.16,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-02T23:13:08.657250+00:00,2026-09-02T23:13:08.657250+00:00,KXHIGHNY-26SEP02-B75.5,0.0,,,,0.01,40.0,,,0.99,40.0,,,,,0.0,2551.17,2551.17,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-T90,0.0,,,,0.01,8421.49,,,0.99,8421.49,,,,,0.0,17534.489999999998,17534.489999999998,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-T83,0.0,,0.2,62.0,0.21,5.0,0.009999999999999981,0.20500000000000002,0.79,5.0,0.8,62.0,0.010000000000000009,0.795,4468.33,2192.1099999999997,2192.1099999999997,4468.33,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-B89.5,0.0,,,,0.02,267.0,,,0.98,267.0,,,,,0.0,2150.8900000000003,2150.8900000000003,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-B87.5,0.0,,0.07,107.0,0.1,65.0,0.03,0.085,0.9,65.0,0.93,107.0,0.030000000000000027,0.915,3192.52,1464.0,1464.0,3192.52,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-B85.5,0.0,,0.31,1.0,0.32,85.0,0.010000000000000009,0.315,0.68,85.0,0.69,1.0,0.009999999999999898,0.685,1956.1,1396.51,1396.51,1956.1,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP03-B83.5,0.0,,0.38,6.0,0.4,6.0,0.020000000000000018,0.39,0.6,6.0,0.62,6.0,0.020000000000000018,0.61,1624.54,2158.0,2158.0,1624.54,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-T82,0.0,,,,0.01,9836.0,,,0.99,9836.0,,,,,0.0,13730.0,13730.0,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
