cycle_id,fetched_at,status,n_markets_matched,n_markets_scraped,n_level_rows,n_summary_rows,n_violations,n_failures,n_warnings,violation_summary,levels_path,summary_path,raw_path
20260824T223328Z,2026-08-24T22:33:28.929028+00:00,OK,12,12,584,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T223328Z.jsonl
20260824T232738Z,2026-08-24T23:27:38.016946+00:00,OK,12,12,590,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T232738Z.jsonl
20260825T013918Z,2026-08-25T01:39:18.970140+00:00,OK,12,12,580,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T013918Z.jsonl
20260825T030532Z,2026-08-25T03:05:32.641309+00:00,OK,12,12,578,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T030532Z.jsonl
20260825T035533Z,2026-08-25T03:55:33.856844+00:00,OK,12,12,578,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T035533Z.jsonl
20260825T044554Z,2026-08-25T04:45:54.308263+00:00,OK,12,6,338,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T044554Z.jsonl
20260825T053720Z,2026-08-25T05:37:20.560057+00:00,OK,6,6,332,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T053720Z.jsonl
20260825T065757Z,2026-08-25T06:57:57.075092+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T065757Z.jsonl
20260825T075017Z,2026-08-25T07:50:17.501104+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T075017Z.jsonl
20260825T085116Z,2026-08-25T08:51:16.793550+00:00,OK,6,6,340,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T085116Z.jsonl
